 ;Iris-setosa;Iris-setosa1;Iris-setosa2;Iris-setosa3;Iris-setosa4;Iris-setosa5;Iris-setosa6;Iris-setosa7;Iris-setosa8;Iris-setosa9;Iris-setosa10;Iris-setosa11;Iris-setosa12;Iris-setosa13;Iris-setosa14;Iris-setosa15;Iris-setosa16;Iris-setosa17;Iris-setosa18;Iris-setosa19;Iris-setosa20;Iris-setosa21;Iris-setosa22;Iris-setosa23;Iris-setosa24;Iris-setosa25;Iris-setosa26;Iris-setosa27;Iris-setosa28;Iris-setosa29;Iris-setosa30;Iris-setosa31;Iris-setosa32;Iris-setosa33;Iris-setosa34;Iris-setosa35;Iris-setosa36;Iris-setosa37;Iris-setosa38;Iris-setosa39;Iris-setosa40;Iris-setosa41;Iris-setosa42;Iris-setosa43;Iris-setosa44;Iris-setosa45;Iris-setosa46;Iris-setosa47;Iris-setosa48;Iris-setosa49;Iris-versicolor;Iris-versicolor51;Iris-versicolor52;Iris-versicolor53;Iris-versicolor54;Iris-versicolor55;Iris-versicolor56;Iris-versicolor57;Iris-versicolor58;Iris-versicolor59;Iris-versicolor60;Iris-versicolor61;Iris-versicolor62;Iris-versicolor63;Iris-versicolor64;Iris-versicolor65;Iris-versicolor66;Iris-versicolor67;Iris-versicolor68;Iris-versicolor69;Iris-versicolor70;Iris-versicolor71;Iris-versicolor72;Iris-versicolor73;Iris-versicolor74;Iris-versicolor75;Iris-versicolor76;Iris-versicolor77;Iris-versicolor78;Iris-versicolor79;Iris-versicolor80;Iris-versicolor81;Iris-versicolor82;Iris-versicolor83;Iris-versicolor84;Iris-versicolor85;Iris-versicolor86;Iris-versicolor87;Iris-versicolor88;Iris-versicolor89;Iris-versicolor90;Iris-versicolor91;Iris-versicolor92;Iris-versicolor93;Iris-versicolor94;Iris-versicolor95;Iris-versicolor96;Iris-versicolor97;Iris-versicolor98;Iris-versicolor99;Iris-virginica;Iris-virginica101;Iris-virginica102;Iris-virginica103;Iris-virginica104;Iris-virginica105;Iris-virginica106;Iris-virginica107;Iris-virginica108;Iris-virginica109;Iris-virginica110;Iris-virginica111;Iris-virginica112;Iris-virginica113;Iris-virginica114;Iris-virginica115;Iris-virginica116;Iris-virginica117;Iris-virginica118;Iris-virginica119;Iris-virginica120;Iris-virginica121;Iris-virginica122;Iris-virginica123;Iris-virginica124;Iris-virginica125;Iris-virginica126;Iris-virginica127;Iris-virginica128;Iris-virginica129;Iris-virginica130;Iris-virginica131;Iris-virginica132;Iris-virginica133;Iris-virginica134;Iris-virginica135;Iris-virginica136;Iris-virginica137;Iris-virginica138;Iris-virginica139;Iris-virginica140;Iris-virginica141;Iris-virginica142;Iris-virginica143;Iris-virginica144;Iris-virginica145;Iris-virginica146;Iris-virginica147;Iris-virginica148;Iris-virginica149
Iris-setosa;0;32;4;5;1;9;2;2;6;6;3;3;33;36;33;12;7;1;7;5;4;5;14;8;6;34;5;1;1;5;6;4;8;7;6;5;1;6;33;2;2;14;4;6;10;33;5;3;3;2;48;47;52;33;52;49;49;31;49;45;55;73;24;51;39;46;76;36;57;44;53;28;58;50;46;74;53;56;50;31;44;35;43;59;76;46;50;53;70;31;49;76;29;32;47;70;45;46;30;45;33;62;96;64;96;103;56;71;70;71;40;64;92;19;66;63;89;76;85;35;67;42;60;59;64;27;57;83;68;90;71;53;69;57;63;100;65;61;82;63;68;62;62;69;68;91;36;70;62;85
Iris-setosa;32;0;30;29;33;41;32;32;26;30;35;33;1;4;3;44;39;33;39;37;34;37;46;36;36;2;35;33;31;31;30;34;40;39;30;31;33;30;1;32;34;22;30;38;42;1;37;29;35;30;74;73;76;41;70;67;77;41;69;61;23;41;30;71;59;70;44;52;63;56;79;46;70;68;66;42;71;24;70;45;54;45;59;75;44;76;74;61;38;43;63;44;43;40;63;38;65;66;42;63;61;78;64;84;64;71;68;91;82;103;66;80;60;31;84;89;57;108;99;41;93;60;78;75;92;53;75;51;86;58;89;85;87;75;77;68;95;85;50;87;92;86;78;95;96;59;48;38;92;53
Iris-setosa;4;30;0;3;5;13;4;4;4;4;7;5;31;32;29;16;9;5;11;9;6;9;16;8;8;32;7;5;3;3;4;6;12;11;4;1;3;4;29;4;4;10;0;10;14;31;9;1;7;2;46;45;50;29;50;47;49;29;47;43;53;71;20;49;37;44;74;34;55;42;51;24;56;48;44;72;51;52;48;29;42;33;41;57;74;48;48;51;68;27;47;74;25;30;45;68;43;44;26;43;31;60;94;62;94;101;54;69;68;75;38;62;90;15;64;61;87;80;83;31;65;40;58;57;64;23;55;81;66;88;69;57;67;55;61;98;67;59;80;61;66;60;60;67;68;89;32;68;64;83
Iris-setosa;5;29;3;0;6;12;5;3;3;1;6;4;30;33;30;15;12;6;10;8;5;8;19;7;7;29;6;4;4;2;1;5;11;12;1;4;6;1;30;3;7;11;3;9;13;30;8;2;6;3;45;44;47;30;47;44;48;26;44;40;50;68;21;46;34;41;71;31;52;39;50;25;53;45;41;69;48;53;45;26;39;30;38;54;71;47;45;48;65;28;44;71;26;27;42;65;40;41;27;40;34;57;91;59;91;98;51;66;65;74;37;59;87;16;61;60;84;79;80;32;64;37;55;54;63;26;52;78;63;85;66;56;64;52;58;95;66;56;77;58;63;57;57;66;67;86;33;65;63;80
Iris-setosa;1;33;5;6;0;8;3;3;7;7;2;4;34;37;34;11;6;2;6;4;5;4;13;9;7;35;6;2;2;6;7;5;7;6;7;6;2;7;34;3;3;15;5;7;9;34;4;4;2;3;49;48;53;34;53;50;50;32;50;46;56;74;25;52;40;47;77;37;58;45;54;29;59;51;47;75;54;57;51;32;45;36;44;60;77;47;51;54;71;32;50;77;30;33;48;71;46;47;31;46;34;63;97;65;97;104;57;72;71;70;41;65;93;20;67;64;90;75;86;36;68;43;61;60;65;28;58;84;69;91;72;52;70;58;64;101;66;62;83;64;69;63;63;70;69;92;37;71;63;86
Iris-setosa;9;41;13;12;8;0;9;9;15;13;6;8;42;45;42;7;4;8;2;4;7;4;21;7;9;39;6;8;10;10;11;7;7;8;13;14;10;13;42;9;9;21;13;7;3;40;4;12;6;11;47;46;51;38;51;48;48;34;48;44;58;72;33;50;38;45;75;39;56;43;52;33;57;49;45;73;52;61;49;34;43;38;42;58;75;45;49;52;69;36;48;75;34;35;46;69;44;45;35;44;38;61;95;63;95;102;55;70;69;68;43;63;91;28;65;62;88;69;84;40;66;45;63;58;63;32;56;82;67;89;70;50;68;56;62;99;64;60;81;62;67;61;61;68;67;90;41;73;61;84
Iris-setosa;2;32;4;5;3;9;0;2;6;6;5;3;33;36;33;12;7;1;7;5;4;5;16;6;6;34;3;3;1;5;6;2;10;9;6;5;3;6;33;2;2;12;4;6;10;31;7;3;5;2;46;45;50;31;50;47;47;31;47;43;55;71;24;49;37;44;74;36;55;42;51;26;56;48;44;72;51;54;48;31;42;35;41;57;74;44;48;51;68;29;47;74;27;32;45;68;43;44;28;43;31;60;94;62;94;101;54;69;68;71;40;62;90;19;64;61;87;76;83;33;65;42;60;57;62;25;55;81;66;88;69;55;67;55;61;98;63;59;80;61;66;60;60;67;66;89;34;70;60;83
Iris-setosa;2;32;4;3;3;9;2;0;6;4;3;1;33;36;33;12;9;3;7;5;2;5;16;6;4;32;3;1;1;3;4;2;8;9;4;5;3;4;33;0;4;14;4;6;10;33;5;3;3;2;46;45;50;33;50;47;47;29;47;43;53;71;24;49;37;44;74;34;55;42;51;28;56;48;44;72;51;56;48;29;42;33;41;57;74;44;48;51;68;31;47;74;29;30;45;68;43;44;30;43;33;60;94;62;94;101;54;69;68;71;38;62;90;19;64;61;87;76;83;35;65;40;58;57;62;27;55;81;66;88;69;53;67;55;61;98;63;59;80;61;66;60;60;67;66;89;36;68;60;83
Iris-setosa;6;26;4;3;7;15;6;6;0;4;9;7;27;30;27;18;13;7;13;11;8;11;20;10;10;28;9;7;5;5;4;8;14;13;4;5;7;4;27;6;8;8;4;12;16;27;11;3;9;4;48;47;50;27;46;43;51;25;43;39;49;67;18;45;33;44;70;30;51;38;53;22;52;44;40;68;47;50;44;25;38;29;37;53;70;50;48;47;64;25;43;70;23;26;41;64;39;40;24;39;35;56;90;58;90;97;50;65;64;77;40;58;86;13;60;63;83;82;79;29;67;36;54;53;66;27;51;77;62;84;65;59;63;51;57;94;69;59;76;61;66;60;56;69;70;85;30;64;66;79
Iris-setosa;6;30;4;1;7;13;6;4;4;0;7;5;29;32;31;16;13;7;11;9;6;9;20;8;8;30;7;5;5;3;2;6;10;13;0;5;7;0;31;4;8;12;4;10;14;31;9;3;7;4;46;45;48;31;48;45;49;25;45;41;49;69;20;47;35;42;72;30;53;40;51;26;54;46;42;70;49;54;46;25;40;29;39;55;72;48;46;49;66;29;45;72;27;26;43;66;41;42;28;41;35;58;92;60;92;99;52;67;66;75;38;60;88;17;62;61;85;80;81;33;65;38;56;55;64;27;53;79;64;86;67;57;65;53;59;96;67;57;78;59;64;58;58;67;68;87;34;66;64;81
Iris-setosa;3;35;7;6;2;6;5;3;9;7;0;4;36;39;36;9;6;4;4;2;5;2;15;9;7;35;6;2;4;6;7;5;5;6;7;8;4;7;36;3;5;17;7;7;7;36;2;6;0;5;49;48;53;36;53;50;50;32;50;46;56;74;27;52;40;47;77;37;58;45;54;31;59;51;47;75;54;59;51;32;45;36;44;60;77;47;51;54;71;34;50;77;32;33;48;71;46;47;33;46;36;63;97;65;97;104;57;72;71;70;41;65;93;22;67;64;90;73;86;38;68;43;61;60;65;30;58;84;69;91;72;50;70;58;64;101;66;62;83;64;69;63;63;70;69;92;39;71;63;86
Iris-setosa;3;33;5;4;4;8;3;1;7;5;4;0;34;37;34;13;10;4;6;6;1;6;17;5;3;31;2;2;2;2;3;3;9;10;5;6;4;5;34;1;5;15;5;5;9;34;4;4;4;3;45;44;49;34;49;46;46;28;46;42;52;70;25;48;36;43;73;33;54;41;50;29;55;47;43;71;50;57;47;28;41;32;40;56;73;43;47;50;67;32;46;73;30;29;44;67;42;43;31;42;34;59;93;61;93;100;53;68;67;70;37;61;89;20;63;60;86;75;82;36;64;39;57;56;61;28;54;80;65;87;68;52;66;54;60;97;62;58;79;60;65;59;59;66;65;88;37;67;59;82
Iris-setosa;33;1;31;30;34;42;33;33;27;29;36;34;0;3;4;45;40;34;40;38;35;38;47;37;37;3;36;34;32;32;31;35;39;40;29;32;34;29;2;33;35;23;31;39;43;2;38;30;36;31;75;74;77;42;71;68;78;40;70;62;22;42;29;72;60;71;45;51;64;57;80;47;71;69;67;43;72;25;71;44;55;44;60;76;45;77;75;62;39;44;64;45;44;39;64;39;66;67;43;64;62;79;65;85;65;72;69;92;83;104;67;81;61;32;85;90;58;109;100;42;94;61;79;76;93;54;76;52;87;59;90;86;88;76;78;69;96;86;51;88;93;87;79;96;97;60;49;39;93;54
Iris-setosa;36;4;32;33;37;45;36;36;30;32;39;37;3;0;3;48;41;37;43;41;38;41;44;40;40;6;39;37;35;35;34;38;42;43;32;31;35;32;3;36;36;24;32;42;46;5;41;33;39;34;78;77;80;39;74;71;81;43;73;65;25;45;26;75;63;74;48;54;67;60;83;44;74;72;70;46;75;22;74;47;58;47;63;79;48;80;78;65;42;41;67;48;41;42;67;42;69;70;40;67;59;82;68;88;68;75;72;95;86;107;70;84;64;29;88;93;61;112;103;39;97;64;82;79;96;51;79;55;90;62;93;89;91;79;81;72;99;89;54;91;96;90;82;99;100;63;46;42;96;57
Iris-setosa;33;3;29;30;34;42;33;33;27;31;36;34;4;3;0;45;38;34;40;38;35;38;43;37;37;5;36;34;32;32;31;35;41;40;31;28;32;31;2;33;33;21;29;39;43;4;38;30;36;31;75;74;77;38;71;68;78;42;70;62;26;44;27;72;60;71;47;53;64;57;80;43;71;69;67;45;72;23;71;46;55;46;60;76;47;77;75;62;41;40;64;47;40;41;64;41;66;67;39;64;58;79;67;85;67;74;69;92;83;104;67;81;63;28;85;90;60;109;100;38;94;61;79;76;93;50;76;54;87;61;90;86;88;76;78;71;96;86;53;88;93;87;79;96;97;62;45;41;93;56
Iris-setosa;12;44;16;15;11;7;12;12;18;16;9;13;45;48;45;0;7;11;9;7;14;7;24;14;16;44;11;11;13;15;16;10;6;5;16;17;13;16;45;12;12;24;16;12;10;43;9;15;9;14;54;53;58;41;58;55;55;41;55;51;65;79;36;57;45;52;82;46;63;50;59;36;64;56;52;80;59;64;56;41;50;45;49;65;82;52;56;59;76;39;55;82;37;42;53;76;51;52;38;51;41;68;102;70;102;109;62;77;76;75;50;70;98;31;72;69;95;76;91;43;73;52;70;65;70;35;63;89;74;96;77;57;75;63;69;106;71;67;88;69;74;68;68;75;74;97;44;80;68;91
Iris-setosa;7;39;9;12;6;4;7;9;13;13;6;10;40;41;38;7;0;6;6;4;11;4;17;11;13;41;8;8;8;12;13;7;7;6;13;10;6;13;38;9;5;17;9;9;7;38;6;10;6;9;51;50;55;34;55;52;52;38;52;48;62;76;29;54;42;49;79;43;60;47;56;29;61;53;49;77;56;57;53;38;47;42;46;62;79;49;53;56;73;32;52;79;30;39;50;73;48;49;31;48;34;65;99;67;99;106;59;74;73;72;47;67;95;24;69;66;92;73;88;36;70;49;67;62;67;28;60;86;71;93;74;54;72;60;66;103;68;64;85;66;71;65;65;72;71;94;37;77;65;88
Iris-setosa;1;33;5;6;2;8;1;3;7;7;4;4;34;37;34;11;6;0;6;4;5;4;15;7;7;35;4;2;2;6;7;3;9;8;7;6;2;7;34;3;1;13;5;5;9;32;6;4;4;3;47;46;51;32;51;48;48;32;48;44;56;72;25;50;38;45;75;37;56;43;52;27;57;49;45;73;52;55;49;32;43;36;42;58;75;45;49;52;69;30;48;75;28;33;46;69;44;45;29;44;32;61;95;63;95;102;55;70;69;70;41;63;91;20;65;62;88;75;84;34;66;43;61;58;63;26;56;82;67;89;70;54;68;56;62;99;64;60;81;62;67;61;61;68;67;90;35;71;61;84
Iris-setosa;7;39;11;10;6;2;7;7;13;11;4;6;40;43;40;9;6;6;0;2;5;4;19;7;7;37;6;6;8;8;9;7;7;8;11;12;8;11;40;7;7;19;11;7;3;38;2;10;4;9;47;46;51;38;51;48;48;32;48;44;56;72;31;50;38;45;75;37;56;43;52;33;57;49;45;73;52;61;49;32;43;36;42;58;75;45;49;52;69;36;48;75;34;33;46;69;44;45;35;44;38;61;95;63;95;102;55;70;69;68;41;63;91;26;65;62;88;69;84;40;66;43;61;58;63;32;56;82;67;89;70;48;68;56;62;99;64;60;81;62;67;61;61;68;67;90;41;71;61;84
Iris-setosa;5;37;9;8;4;4;5;5;11;9;2;6;38;41;38;7;4;4;2;0;7;2;17;9;9;37;6;4;6;8;9;5;5;6;9;10;6;9;38;5;5;17;9;7;5;36;2;8;2;7;49;48;53;36;53;50;50;34;50;46;58;74;29;52;40;47;77;39;58;45;54;31;59;51;47;75;54;59;51;34;45;38;44;60;77;47;51;54;71;34;50;77;32;35;48;71;46;47;33;46;36;63;97;65;97;104;57;72;71;70;43;65;93;24;67;64;90;71;86;38;68;45;63;60;65;30;58;84;69;91;72;50;70;58;64;101;66;62;83;64;69;63;63;70;69;92;39;73;63;86
Iris-setosa;4;34;6;5;5;7;4;2;8;6;5;1;35;38;35;14;11;5;5;7;0;7;18;4;2;32;3;3;3;3;4;4;10;11;6;7;5;6;35;2;6;16;6;6;8;35;5;5;5;4;44;43;48;35;48;45;45;27;45;41;51;69;26;47;35;42;72;32;53;40;49;30;54;46;42;70;49;58;46;27;40;31;39;55;72;42;46;49;66;33;45;72;31;28;43;66;41;42;32;41;35;58;92;60;92;99;52;67;66;69;36;60;88;21;62;59;85;74;81;37;63;38;56;55;60;29;53;79;64;86;67;51;65;53;59;96;61;57;78;59;64;58;58;65;64;87;38;66;58;81
Iris-setosa;5;37;9;8;4;4;5;5;11;9;2;6;38;41;38;7;4;4;4;2;7;0;17;7;9;37;4;4;6;8;9;3;7;8;9;10;6;9;38;5;5;17;9;5;5;36;4;8;2;7;47;46;51;34;51;48;48;34;48;44;58;72;29;50;38;45;75;39;56;43;52;29;57;49;45;73;52;57;49;34;43;38;42;58;75;45;49;52;69;32;48;75;30;35;46;69;44;45;31;44;34;61;95;63;95;102;55;70;69;68;43;63;91;24;65;62;88;71;84;36;66;45;63;58;63;28;56;82;67;89;70;52;68;56;62;99;64;60;81;62;67;61;61;68;67;90;37;73;61;84
Iris-setosa;14;46;16;19;13;21;16;16;20;20;15;17;47;44;43;24;17;15;19;17;18;17;0;22;20;48;19;15;15;19;20;18;20;19;20;15;13;20;45;16;14;26;16;20;22;47;17;17;15;16;62;61;66;27;66;63;63;45;63;59;69;87;18;65;53;60;90;50;71;58;67;22;72;64;60;88;67;52;64;45;58;49;57;73;90;60;64;67;84;25;63;90;23;46;61;84;59;60;22;59;31;76;110;78;110;117;70;85;84;83;54;78;106;15;80;77;103;88;99;31;81;56;74;73;78;25;71;97;82;104;85;65;83;71;77;114;79;75;96;77;82;76;76;83;82;105;32;84;76;99
Iris-setosa;8;36;8;7;9;7;6;6;10;8;9;5;37;40;37;14;11;7;7;9;4;7;22;0;6;34;3;7;7;5;6;4;14;15;8;9;9;8;37;6;8;16;8;4;8;35;9;7;9;6;40;39;44;31;44;41;41;29;41;37;53;65;28;43;31;38;68;34;49;36;45;26;50;42;38;66;45;54;42;29;36;33;35;51;68;40;42;45;62;29;41;68;27;30;39;62;37;38;28;37;31;54;88;56;88;95;48;63;62;67;38;56;84;23;58;55;81;72;77;33;59;40;58;51;56;25;49;75;60;82;63;55;61;49;55;92;59;53;74;55;60;54;54;61;60;83;34;68;56;77
Iris-setosa;6;36;8;7;7;9;6;4;10;8;7;3;37;40;37;16;13;7;7;9;2;9;20;6;0;34;5;5;5;5;6;6;12;13;8;9;7;8;37;4;8;18;8;8;6;37;7;7;7;6;42;41;46;37;46;43;43;25;43;39;49;67;28;45;33;40;70;30;51;38;47;32;52;44;40;68;47;60;44;25;38;29;37;53;70;40;44;47;64;35;43;70;33;26;41;64;39;40;34;39;37;56;90;58;90;97;50;65;64;67;34;58;86;23;60;57;83;72;79;39;61;36;54;53;58;31;51;77;62;84;65;49;63;51;57;94;59;55;76;57;62;56;56;63;62;85;40;64;56;79
Iris-setosa;34;2;32;29;35;39;34;32;28;30;35;31;3;6;5;44;41;35;37;37;32;37;48;34;34;0;33;33;33;29;28;34;40;41;30;33;35;30;3;32;36;24;32;36;40;3;35;31;35;32;72;71;74;43;68;65;75;39;67;59;21;39;32;69;57;68;42;50;61;54;77;48;68;66;64;40;69;26;68;43;52;43;57;73;42;74;72;59;36;45;61;42;45;38;61;36;63;64;44;61;63;76;62;82;62;69;66;89;80;101;64;78;58;33;82;87;55;106;97;43;91;58;76;73;90;55;73;49;84;56;87;83;85;73;75;66;93;83;48;85;90;84;76;93;94;57;50;36;90;51
Iris-setosa;5;35;7;6;6;6;3;3;9;7;6;2;36;39;36;11;8;4;6;6;3;4;19;3;5;33;0;4;4;4;5;1;11;12;7;8;6;7;36;3;5;15;7;3;7;34;6;6;6;5;43;42;47;32;47;44;44;30;44;40;54;68;27;46;34;41;71;35;52;39;48;27;53;45;41;69;48;55;45;30;39;34;38;54;71;41;45;48;65;30;44;71;28;31;42;65;40;41;29;40;32;57;91;59;91;98;51;66;65;68;39;59;87;22;61;58;84;73;80;34;62;41;59;54;59;26;52;78;63;85;66;54;64;52;58;95;60;56;77;58;63;57;57;64;63;86;35;69;57;80
Iris-setosa;1;33;5;4;2;8;3;1;7;5;2;2;34;37;34;11;8;2;6;4;3;4;15;7;5;33;4;0;2;4;5;3;7;8;5;6;2;5;34;1;3;15;5;5;9;34;4;4;2;3;47;46;51;34;51;48;48;30;48;44;54;72;25;50;38;45;75;35;56;43;52;29;57;49;45;73;52;57;49;30;43;34;42;58;75;45;49;52;69;32;48;75;30;31;46;69;44;45;31;44;34;61;95;63;95;102;55;70;69;70;39;63;91;20;65;62;88;75;84;36;66;41;59;58;63;28;56;82;67;89;70;52;68;56;62;99;64;60;81;62;67;61;61;68;67;90;37;69;61;84
Iris-setosa;1;31;3;4;2;10;1;1;5;5;4;2;32;35;32;13;8;2;8;6;3;6;15;7;5;33;4;2;0;4;5;3;9;8;5;4;2;5;32;1;3;13;3;7;11;32;6;2;4;1;47;46;51;32;51;48;48;30;48;44;54;72;23;50;38;45;75;35;56;43;52;27;57;49;45;73;52;55;49;30;43;34;42;58;75;45;49;52;69;30;48;75;28;31;46;69;44;45;29;44;32;61;95;63;95;102;55;70;69;72;39;63;91;18;65;62;88;77;84;34;66;41;59;58;63;26;56;82;67;89;70;54;68;56;62;99;64;60;81;62;67;61;61;68;67;90;35;69;61;84
Iris-setosa;5;31;3;2;6;10;5;3;5;3;6;2;32;35;32;15;12;6;8;8;3;8;19;5;5;29;4;4;4;0;1;5;11;12;3;4;6;3;32;3;7;13;3;7;11;32;6;2;6;3;43;42;47;32;47;44;46;26;44;40;50;68;23;46;34;41;71;31;52;39;48;27;53;45;41;69;48;55;45;26;39;30;38;54;71;45;45;48;65;30;44;71;28;27;42;65;40;41;29;40;34;57;91;59;91;98;51;66;65;72;35;59;87;18;61;58;84;77;80;34;62;37;55;54;61;26;52;78;63;85;66;54;64;52;58;95;64;56;77;58;63;57;57;64;65;86;35;65;61;80
Iris-setosa;6;30;4;1;7;11;6;4;4;2;7;3;31;34;31;16;13;7;9;9;4;9;20;6;6;28;5;5;5;1;0;6;12;13;2;5;7;2;31;4;8;12;4;8;12;31;7;3;7;4;44;43;46;31;46;43;47;25;43;39;49;67;22;45;33;40;70;30;51;38;49;26;52;44;40;68;47;54;44;25;38;29;37;53;70;46;44;47;64;29;43;70;27;26;41;64;39;40;28;39;35;56;90;58;90;97;50;65;64;73;36;58;86;17;60;59;83;78;79;33;63;36;54;53;62;27;51;77;62;84;65;55;63;51;57;94;65;55;76;57;62;56;56;65;66;85;34;64;62;79
Iris-setosa;4;34;6;5;5;7;2;2;8;6;5;3;35;38;35;10;7;3;7;5;4;3;18;4;6;34;1;3;3;5;6;0;10;11;6;7;5;6;35;2;4;14;6;4;8;33;7;5;5;4;44;43;48;31;48;45;45;31;45;41;55;69;26;47;35;42;72;36;53;40;49;26;54;46;42;70;49;54;46;31;40;35;39;55;72;42;46;49;66;29;45;72;27;32;43;66;41;42;28;41;31;58;92;60;92;99;52;67;66;69;40;60;88;21;62;59;85;74;81;33;63;42;60;55;60;25;53;79;64;86;67;55;65;53;59;96;61;57;78;59;64;58;58;65;64;87;34;70;58;81
Iris-setosa;8;40;12;11;7;7;10;8;14;10;5;9;39;42;41;6;7;9;7;5;10;7;20;14;12;40;11;7;9;11;12;10;0;3;10;13;9;10;41;8;10;22;12;12;10;41;5;11;5;10;54;53;58;41;58;55;55;35;55;51;59;79;30;57;45;52;82;40;63;50;59;36;64;56;52;80;59;64;56;35;50;39;49;65;82;52;56;59;76;39;55;82;37;36;53;76;51;52;38;51;41;68;102;70;102;109;62;77;76;75;46;70;98;27;72;69;95;76;91;43;73;48;66;65;70;35;63;89;74;96;77;53;75;63;69;106;71;67;88;69;74;68;68;75;74;97;44;76;68;91
Iris-setosa;7;39;11;12;6;8;9;9;13;13;6;10;40;43;40;5;6;8;8;6;11;8;19;15;13;41;12;8;8;12;13;11;3;0;13;12;8;13;40;9;9;21;11;13;11;40;6;10;6;9;55;54;59;40;59;56;56;38;56;52;62;80;31;58;46;53;83;43;64;51;60;35;65;57;53;81;60;63;57;38;51;42;50;66;83;53;57;60;77;38;56;83;36;39;54;77;52;53;37;52;40;69;103;71;103;110;63;78;77;76;47;71;99;26;73;70;96;77;92;42;74;49;67;66;71;34;64;90;75;97;78;54;76;64;70;107;72;68;89;70;75;69;69;76;75;98;43;77;69;92
